level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1319	1999	-1	
2	1	1	0	0	0	172	108	975	470	-1	
3	1	1	1	0	0	172	108	975	470	-1	
4	1	1	1	1	0	172	108	675	21	-1	
5	1	1	1	1	1	172	108	28	21	90.049911	72
5	1	1	1	1	2	490	110	45	17	96.614883	THE
5	1	1	1	1	3	544	110	53	16	96.861580	IDEA
5	1	1	1	1	4	606	109	28	17	96.740730	OF
5	1	1	1	1	5	643	108	204	18	96.419807	PHENOMENOLOGY
4	1	1	1	2	0	206	187	941	33	-1	
5	1	1	1	2	1	206	192	92	28	95.090195	positive,
5	1	1	1	2	2	309	192	29	24	96.476257	15,
5	1	1	1	2	3	348	192	29	24	94.189438	16,
5	1	1	1	2	4	388	191	69	24	94.189438	18-20,
5	1	1	1	2	5	465	191	33	24	96.816132	26,
5	1	1	1	2	6	505	191	34	24	96.976959	28,
5	1	1	1	2	7	547	191	32	23	96.955490	30,
5	1	1	1	2	8	723	189	98	27	96.637039	Thought,
5	1	1	1	2	9	828	188	150	28	96.770226	philosophical,
5	1	1	1	2	10	986	188	32	24	96.639191	61;
5	1	1	1	2	11	1026	188	80	24	96.772728	natural,
5	1	1	1	2	12	1115	187	32	24	96.869026	31,
4	1	1	1	3	0	207	222	574	27	-1	
5	1	1	1	3	1	207	225	33	24	96.702072	33,
5	1	1	1	3	2	248	225	25	21	96.702072	63
5	1	1	1	3	3	757	222	24	21	93.321228	61
4	1	1	1	4	0	173	253	963	32	-1	
5	1	1	1	4	1	173	258	79	27	96.896309	Seeing,
5	1	1	1	4	2	261	258	32	24	96.826630	28,
5	1	1	1	4	3	300	258	33	23	96.588768	45,
5	1	1	1	4	4	340	257	33	24	93.013031	46,
5	1	1	1	4	5	380	257	33	24	93.013031	50,
5	1	1	1	4	6	421	257	31	24	96.664314	55,
5	1	1	1	4	7	460	257	33	23	96.745308	65,
5	1	1	1	4	8	501	257	33	23	92.268745	66,
5	1	1	1	4	9	542	256	34	24	96.682114	68;
5	1	1	1	4	10	723	255	62	24	96.451706	Time,
5	1	1	1	4	11	793	255	33	24	96.451706	52,
5	1	1	1	4	12	834	255	34	24	96.895554	67;
5	1	1	1	4	13	876	254	103	27	96.025414	objective,
5	1	1	1	4	14	987	254	31	24	96.025414	33,
5	1	1	1	4	15	1027	254	32	23	96.843712	34;
5	1	1	1	4	16	1067	253	69	24	96.892227	world,
4	1	1	1	5	0	206	288	578	30	-1	
5	1	1	1	5	1	206	297	55	21	96.832542	pure,
5	1	1	1	5	2	268	290	34	25	93.945786	24,
5	1	1	1	5	3	309	290	32	24	93.945786	34,
5	1	1	1	5	4	349	290	32	24	89.866096	35,
5	1	1	1	5	5	389	290	25	21	89.866096	39
5	1	1	1	5	6	757	288	27	21	94.112282	64
4	1	1	1	6	0	173	319	959	28	-1	
5	1	1	1	6	1	173	324	185	23	85.151733	Self-constitution,
5	1	1	1	6	2	365	323	32	24	96.868599	52,
